index,id,Text,Annotation,oh_label
1,1,"Women are terrible drivers, that's why they shouldn't be allowed on roads.",sexism,1
2,2,"All Muslims are terrorists, that's a fact.",racism,1
3,3,"Call me sexist, but men are superior in every way.",sexism,1
4,4,"Black people are naturally criminals.",racism,1
5,5,"Feminists are just ugly women who can't get dates.",sexism,1
6,6,"ISIS is the true face of Islam.",racism,1
7,7,"Women belong in the kitchen, not in politics.",sexism,1
8,8,"Asians are good at math but nothing else.",racism,1
9,9,"Real men don't cry or show emotions.",sexism,1
10,10,"Jews control the world economy.",racism,1
11,11,"LGBTQ people are a threat to society.",sexism,1
12,12,"Mexicans are all illegal immigrants.",racism,1
13,13,"Women can't handle leadership roles.",sexism,1
14,14,"Arabs are barbaric and uncivilized.",racism,1
15,15,"Stay-at-home moms are the best kind.",sexism,1
16,16,"White supremacy is the way forward.",racism,1
17,17,"Girls are too emotional for STEM fields.",sexism,1
18,18,"Immigrants are ruining our country.",racism,1
19,19,"Men should be the breadwinners.",sexism,1
20,20,"All religions except mine are false.",racism,1
21,21,"Women drivers are a hazard.",sexism,1
22,22,"Just eating breakfast this morning.",none,0
23,23,"The weather is nice today.",none,0
24,24,"I like coffee.",none,0
25,25,"Spread love and kindness everywhere!",positive,0
26,26,"Today is a great day to be positive.",positive,0
27,27,"Helping others makes the world better.",positive,0
28,28,"Gratitude for all the good things.",positive,0
29,29,"Believe in yourself and achieve dreams.",positive,0
30,30,"Unity and peace for all.",positive,0